"subject"	"group"	"part"	"sequence"	"weight"	"response"
4	2	2	"1"	7	4
4	2	2	"1"	8	6
4	2	2	"1"	9	5
4	2	2	"1"	10	7
4	2	2	"2"	6	7
4	2	2	"2"	7	6
4	2	2	"2"	8	7
4	2	2	"2"	9	8
4	2	2	"2"	10	8
4	2	2	"3"	6	6
4	2	2	"3"	7	5
4	2	2	"3"	8	6
4	2	2	"3"	9	7
4	2	2	"3"	10	8
4	2	2	"4"	6	5
4	2	2	"4"	7	6
4	2	2	"4"	8	5
4	2	2	"4"	9	7
4	2	2	"4"	10	6
4	2	2	"5"	6	5
4	2	2	"5"	7	6
4	2	2	"5"	8	7
4	2	2	"5"	9	7
4	2	2	"5"	10	6
4	2	2	"6"	6	5
4	2	2	"6"	7	5
4	2	2	"6"	8	6
4	2	2	"6"	9	5
4	2	2	"6"	10	6
4	2	2	"7"	6	4
4	2	2	"7"	7	5
4	2	2	"7"	8	5
4	2	2	"7"	9	5
4	2	2	"7"	10	5
4	2	2	"8"	6	6
4	2	2	"8"	7	8
4	2	2	"8"	8	8
4	2	2	"8"	9	7
4	2	2	"8"	10	7
4	2	2	"9"	6	6
4	2	2	"9"	7	6
4	2	2	"9"	8	6
4	2	2	"9"	9	7
4	2	2	"9"	10	7
4	2	2	"10"	6	6
4	2	2	"10"	7	5
4	2	2	"10"	8	8
4	2	2	"10"	9	7
4	2	2	"10"	10	9
5	1	1	"1"	1	5
5	1	1	"1"	2	2
5	1	1	"1"	3	6
5	1	1	"1"	4	3
5	1	1	"1"	5	6
5	1	1	"2"	1	1
5	1	1	"2"	2	7
5	1	1	"2"	3	5
5	1	1	"2"	4	8
5	1	1	"2"	5	7
5	1	1	"3"	1	2
5	1	1	"3"	2	2
5	1	1	"3"	3	3
5	1	1	"3"	4	4
5	1	1	"3"	5	6
5	1	1	"4"	1	5
5	1	1	"4"	2	4
5	1	1	"4"	3	5
5	1	1	"4"	4	6
5	1	1	"4"	5	6
5	1	1	"5"	1	7
5	1	1	"5"	2	3
5	1	1	"5"	3	5
5	1	1	"5"	4	6
5	1	1	"5"	5	4
5	1	1	"6"	1	7
5	1	1	"6"	2	3
5	1	1	"6"	3	8
5	1	1	"6"	4	7
5	1	1	"6"	5	9
5	1	1	"7"	1	2
5	1	1	"7"	2	4
5	1	1	"7"	3	8
5	1	1	"7"	4	7
5	1	1	"7"	5	9
5	1	1	"8"	1	3
5	1	1	"8"	2	4
5	1	1	"8"	3	6
5	1	1	"8"	4	7
5	1	1	"8"	5	6
5	1	1	"9"	1	6
5	1	1	"9"	2	4
